ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
843;1;M;3131;14,19
844;1;M;3132;14,2
845;1;M;3133;14,21
846;1;M;3134;14,22
847;1;M;3135;14,23
848;1;M;3136;14,24
849;1;M;3137;14,25
850;1;M;3138;14,26
851;1;M;3139;14,27
852;1;M;3140;14,28
853;1;M;3141;14,29
854;1;M;3142;14,3
855;1;M;3143;14,31
856;1;M;3144;14,32
857;1;M;3145;14,33
858;1;M;3146;14,34
859;1;M;3147;14,35
860;1;M;3148;14,36
861;1;M;3149;14,37
862;1;M;3150;14,38
863;1;M;3151;14,39
864;1;M;3152;14,4
865;1;M;3153;14,41
866;1;M;3154;14,42
867;1;M;3155;14,43
868;1;M;3156;14,44
869;1;M;3157;14,45
870;1;M;3158;14,46
871;1;M;3159;14,47
872;1;M;3160;14,48
873;1;M;3161;14,49
874;1;M;3162;14,5
875;1;M;3163;14,51
876;1;M;3164;14,52
877;1;M;3165;14,53
878;1;M;3166;14,54
879;1;M;3167;14,55
880;1;M;3168;14,56
881;1;M;3169;14,57
882;1;M;3170;14,58
883;1;M;3171;14,59
884;1;M;3172;14,6
885;1;M;3173;14,61
886;1;M;3174;14,62
887;1;M;3175;14,63
888;1;M;3176;14,64
889;1;M;3177;14,65
890;1;M;3178;14,66
891;1;M;3179;14,67
892;1;M;3180;14,68
893;1;M;3181;14,69
894;1;M;3182;14,7
895;1;M;3183;14,71
896;1;M;3184;14,72
897;1;M;3185;14,73
898;1;M;3186;14,74
899;1;M;3187;14,75
900;1;M;3188;14,76
901;1;M;3189;14,78
902;1;M;3190;14,79
903;1;M;3191;14,8
904;1;M;3192;14,81
905;1;M;3193;14,82
906;1;M;3194;14,83
907;1;M;3195;14,84
908;1;M;3196;14,86
909;1;M;3197;14,88
910;1;M;3198;14,89
911;1;M;3199;14,9
912;1;M;3200;14,91
913;1;M;3201;14,92
914;1;M;3202;14,93
915;1;M;3203;14,94
916;1;M;3204;14,95
917;1;M;3205;14,96
918;1;M;3206;14,97
919;1;M;3207;14,98
920;1;M;3208;14,99
921;1;M;3209;15
922;1;M;3210;15,01
923;1;M;3211;15,02
924;1;M;3212;15,03
925;1;M;3213;15,04
926;1;M;3214;15,06
927;1;M;3215;15,08
928;1;M;3216;15,09
929;1;M;3217;15,1
930;1;M;3218;15,11
931;1;M;3219;15,12
932;1;M;3220;15,13
933;1;M;3221;15,14
934;1;M;3222;15,15
935;1;M;3223;15,16
936;1;M;3224;15,18
937;1;M;3225;15,19
938;1;M;3226;15,2
939;1;M;3227;15,21
940;1;M;3228;15,22
941;1;M;3229;15,23
942;1;M;3230;15,24
943;1;M;3231;15,25
944;1;M;3232;15,26
945;1;M;3233;15,27
946;1;M;3234;15,28
947;1;M;3235;15,29
948;1;M;3236;15,3
949;1;M;3237;15,31
950;1;M;3238;15,32
951;1;M;3239;15,33
952;1;M;3240;15,34
953;1;M;3241;15,35
954;1;M;3242;15,36
955;1;M;3243;15,37
956;1;M;3244;15,38
957;1;M;3245;15,39
958;1;M;3246;15,4
959;1;M;3247;15,41
960;1;M;3248;15,42
961;1;M;3249;15,43
962;1;M;3250;15,44
963;1;M;3251;15,46
964;1;M;3252;15,48
965;1;M;3253;15,49
966;1;M;3254;15,5
967;1;M;3255;15,51
968;1;M;3256;15,52
969;1;M;3257;15,53
970;1;M;3258;15,54
971;1;M;3259;15,56
972;1;M;3260;15,58
973;1;M;3261;15,59
974;1;M;3262;15,6
975;1;M;3263;15,61
976;1;M;3264;15,62
977;1;M;3265;15,63
978;1;M;3266;15,64
979;1;M;3267;15,65
980;1;M;3268;15,66
981;1;M;3269;15,67
982;1;M;3270;15,68
983;1;M;3271;15,69
984;1;M;3272;15,7
985;1;M;3273;15,71
986;1;M;3274;15,72
987;1;M;3275;15,73
988;1;M;3276;15,74
989;1;M;3277;15,75
990;1;M;3278;15,76
991;1;M;3279;15,78
992;1;M;3280;15,79
993;1;M;3281;15,8
994;1;M;3282;15,82
995;1;M;3283;15,84
996;1;M;3284;15,86
997;1;M;3285;15,88
998;1;M;3286;15,89
999;1;M;3287;15,9
1000;1;M;3288;15,91
1001;1;M;3289;15,92
1002;1;M;3290;15,93
